"id","days_from_billing","days_from_schedulling","days_from_schedulling_lien"
"7","30","45","60"
"8","30","45","60"
"9","30","45","60"
"10","30","45","60"
"11","45","60","70"
"12","45","60","70"
"13","45","60","70"
"14","45","60","70"
"15","45","60","70"
"16","45","60","70"
"17","45","60","70"
"18","45","60","70"
"19","45","60","70"
"23","45","60","70"
"24","45","60","70"
"25","45","60","70"
"26","45","60","70"
"27","45","60","70"
"28","45","60","70"
"29","45","60","70"
"30","45","60","70"
"31","45","60","70"
"32","45","60","70"
"33","45","60","70"
"34","45","60","70"
"35","45","60","75"
"36","45","60","70"
"37","30","45","60"
"38","45","60","70"
"41","45","60","70"
"42","45","60","70"
"43","45","60","70"
"44","45","60","70"
"45","45","60","70"
"46","45","60","70"
"47","45","60","70"
"48","30","45","60"
"51","45","60","70"
"52","45","60","70"
"53","45","60","70"
"54","45","60","70"
"55","45","60","70"
"56","45","60","70"
"57","45","60","70"
"58",,,
"59","30","45","60"
"62","45","60","70"
"63","45","60","70"
"64","45","60","70"
"65","45","60","70"
"66","45","60","70"
"68","30","45","60"
"69","30","45","60"
"70","30","45","60"
"71","30","45","60"
"72","45","60","70"
"73","30","45","60"
"74","30","45","60"
"76","45","60","70"
"77","45","60","70"
"78","45","60","70"
"79","30","45","60"
"80","30","45","60"
"81","45","60","70"
"82","30","45","60"
"83","30","45","60"
"84","45","60","70"
"85","45","60","70"
"86","45","60","70"
"88","45","60","70"
"89","45","60","70"
"91","45","60","70"
"93","45","60","70"
"95","45","60","70"
"96","45","60","70"
"97","45","60","70"
"98","45","60","70"
"99","45","60","70"
"100","45","60","70"
"101","45","60","70"
"102","45","60","70"
"103","45","60","70"
"104","45","60","70"
"105","30","45","60"
"106","30","45","60"
"108","30","45","60"
"110","30","45","60"
"112","30","45","60"
"114","30","45","60"
"115","30","45","60"
"118","30","45","60"
"119","30","45","60"
"120","30","45","60"
"122","30","45","60"
"123","30","45","60"
"124","30","45","60"
"125","45","60","70"
"126","30","45","60"
"127","30","45","60"
"128","30","45","60"
"129","30","45","60"
"130","30","45","60"
"131","30","45","60"
"132","30","45","60"
"133","30","45","60"
"134","45","60","70"
"136","30","45","60"
"137","30","45","60"
"138","30","45","60"
"139","45","60","70"
"140","45","60","70"
"141","45","60","70"
"142","30","45","60"
"144","45","60","70"
"145","30","45","60"
"146","30","45","60"
"147","30","45","60"
"148","30","45","60"
"149","30","45","60"
"150","30","45","60"
"153","30","45","60"
"154","30","45","60"
"155","30","45","60"
"156","30","45","60"
"157","30","45","60"
"158","30","45","60"
"159","30","45","60"
"160","30","45","60"
"162","30","45","60"
"164","30","45","60"
"165","30","45","60"
"166","30","45","60"
"167","30","45","60"
"168","30","45","60"
"169","30","45","60"
"170","30","45","60"
"171","45","60","70"
"173","30","45","60"
"174","45","60","70"
"175","45","60","70"
"176","30","45","60"
"177","30","45","60"
"178","30","45","60"
"179","30","45","60"
"180","30","45","60"
"181","30","45","60"
"182","30","45","60"
"183","30","45","60"
"184","45","60","70"
"185","30","45","60"
"186","45","60","70"
"188","45","60","70"
"190","45","60","70"
"191","45","60","70"
"192","45","60","70"
"193","45","60","70"
"194","30","45","60"
"195","30","45","60"
"196","30","45","60"
"197","30","45","60"
"198","30","45","60"
"199","30","45","60"
"200","30","45","60"
"201","30","45","60"
"202","30","45","60"
"203","30","45","60"
"204","45","60","70"
"206","45","60","70"
"207","45","60","70"
"208","45","60","70"
"209","30","45","60"
"210","45","60","70"
"211","45","60","70"
"212","45","60","70"
"213","45","60","70"
"214","30","45","60"
"215","30","45","60"
"216","30","45","60"
"217","45","60","70"
"219","45","60","70"
"220","30","45","60"
"221","30","45","60"
"222","30","45","60"
"223","30","45","70"
"224","30","45","70"
"225","30","30","30"
"226","30","30","70"
"227","30","30","60"
"228","30","45","70"
"229","30","30","60"
"230","30","1","60"
"231","30","45","70"
"232","30","45","60"
"233","30","45","60"
"234","30","1","60"
"235","45","60","75"
"236","30","45","60"
"237","30","45","60"
"241","30","45","70"
"242","30","45","70"
"244","30","30","30"
"245","30","30","30"
"246","30","30","30"
"247","30","30","30"
"248","30","30","30"
"249","30","30","30"
"250","30","30","30"
"251","30","30","30"
"252","30","30","30"
"253","30","30","30"
"254","30","30","30"
"255","30","30","30"
"256","30","30","30"
"257","30","30","30"
"258","30","30","30"
"259","30","30","30"
"260","30","30","30"
"261","30","30","30"
"262","30","30","30"
"263","30","30","30"
"264","30","30","30"
"265","30","30","30"
"266","30","30","30"
"267","30","30","30"
"268","30","30","30"
"269","30","30","30"
"270","30","30","30"
"271","30","30","30"
"272","30","30","30"
"273","30","30","30"
"274","30","30","30"
"275","30","30","30"
"276","30","30","30"
"277","30","30","30"
"278","30","30","30"
"279","30","30","30"
"280","30","30","30"
"281","30","30","30"
"282","30","30","30"
"283","30","30","30"
"284","30","30","30"
"285","30","30","30"
"286","30","30","30"
"287","30","30","30"
"288","30","30","30"
"289","30","30","30"
"290","30","30","30"
"291","30","30","30"
"292","30","30","30"
"293","30","30","30"
"294","30","30","30"
"295","30","30","30"
"296","30","30","30"
"297","30","30","30"
"298","30","30","30"
"299","30","30","30"
"300","30","30","30"
"301","30","30","30"
"302","30","30","30"
"303","30","30","30"
"304","30","30","30"
"305","30","30","30"
"306","30","30","30"
"307","30","30","30"
"308","30","30","30"
"309","30","30","30"
"310","30","30","30"
"311","30","30","30"
"312","30","30","30"
"313","30","30","30"
"314","30","30","30"
"315","30","30","30"
"316","30","30","30"
"317","30","30","30"
"318","30","30","30"
"319","30","30","30"
"320","30","30","30"
"321","30","30","30"
"322","30","30","30"
"323","30","45","60"
"324","30","30","30"
"325","30","30","30"
"326","30","30","30"
"327","30","30","30"
"328","30","30","30"
"329","30","30","30"
"330","30","30","30"
"331","30","30","30"
"332","30","45","60"
"333","30","45","60"
"334","30","45","60"
"335","30","45","60"
"336","30","45","60"
"337","30","45","60"
"338","30","45","60"
"339","30","45","60"
"340","30","45","60"
"341","30","45","60"
"342","30","45","60"
"343","30","45","60"
"344","30","45","60"
"345","30","45","60"
"346","30","45","60"
"347","30","45","60"
"348","30","45","60"
"349","30","45","60"
"350","30","45","60"
"352","30","45","60"
"353","30","45","60"
"354","30","45","60"
"355","30","45","60"
"356","30","45","60"
"357","30","45","60"
"358","30","45","60"
"359","30","45","60"
"360","30","45","60"
"361","30","45","60"
"362","30","45","60"
"363","30","45","60"
"364","30","45","60"
"365","30","45","60"
"366","30","45","60"
"367","30","45","60"
"368","30","45","60"
"369","30","45","60"
"370","30","45","60"
"371","30","45","60"
"372","30","45","60"
"373","30","45","60"
"374","30","45","60"
"375","30","30","30"
"376","30","30","30"
"377","30","30","30"
"378","30","30","30"
"379","30","30","30"
"380","30","30","30"
"381","30","30","30"
"382","30","30","30"
"383","30","30","30"
"384","30","30","30"
"385","30","30","30"
"386","30","30","30"
"387","30","30","30"
"388","30","30","30"
"389","30","30","30"
"390","30","30","30"
"391","30","30","30"
"392","30","30","30"
"393","30","30","30"
"394","30","45","60"
"395","30","45","60"
"396","30","45","70"
"397","30","30","30"
"398","30","30","30"
"399","30","30","30"
"400","30","30","30"
"401","30","30","30"
"402","30","30","30"
"403","30","30","30"
"404","30","30","30"
"405","30","30","30"
"406","30","30","30"
"407","30","30","30"
"408","30","45","60"
"409","30","30","30"
"410","30","30","30"
"411","30","30","30"
"412","30","30","30"
"413","30","30","30"
"414","30","45","70"
"415","30","45","70"
"416","30","30","30"
"417","30","30","30"
"418","30","30","30"
"419","30","30","30"
"420","30","30","30"
"421","30","30","30"
"422","30","30","30"
"423","30","30","30"
"424","30","30","30"
"425","30","30","30"
"426","30","30","30"
"427","30","30","30"
"428","30","30","30"
"429","30","30","30"
"430","30","30","30"
"431","30","30","30"
"432","30","30","30"
"433","30","30","30"
"434","30","30","30"
"435","30","45","70"
"436","30","45","70"
"437","30","30","30"
"438","30","30","30"
"439","30","45","70"
"440","30","30","30"
"441","30","30","30"
"442","30","30","30"
"443","30","30","30"
"444","30","30","30"
"445","30","30","30"
"446","30","30","30"
"447","30","30","30"
"448","30","30","30"
"449","30","30","30"
"450","30","60","90"
"451","30","30","30"
"452","30","30","30"
"453","30","30","30"
"454","30","30","30"
"455","30","30","30"
"456","30","30","30"
"457","30","30","30"
"458","30","30","30"
"459","30","30","30"
"460","30","30","30"
"461","30","30","30"
"462","30","30","30"
"463","30","30","30"
"464","30","30","30"
"465","30","30","30"
"466","30","45","70"
"467","30","30","60"
"468","30","1","60"
"469","30","45","70"
"470","30","45","70"
"471","45","45","45"
"472","45","45","45"
"473","45","45","45"
"474","30","30","30"
"475","30","30","30"
"476","30","30","30"
"477","30","30","30"
"478","30","30","30"
"479","30","30","30"
"480","30","30","30"
"481","30","30","30"
"482","30","30","30"
"483","30","30","30"
"484","30","30","30"
"485","30","30","30"
"486","30","30","30"
"487","45","60","70"
"488","30","30","30"
"489","30","30","30"
"490","30","45","70"
"491","30","45","70"
"492","30","30","30"
"493","30","30","30"
"494","30","30","30"
"495","30","30","30"
"496","30","45","60"
"497","30","45","60"
"498","30","30","30"
"499","30","30","30"
"500","30","30","30"
"501","30","30","30"
"502","30","30","30"
"503","30","30","30"
"504","30","30","30"
"505","30","30","30"
"506","30","30","30"
"507","30","30","30"
"508","30","30","30"
"510","30","45","60"
"511","30","45","60"
"512","30","45","60"
"513","30","45","60"
"514","30","45","60"
"515","30","45","60"
"516","30","45","60"
"517","30","45","60"
"518","30","45","60"
"519","30","45","60"
"520","30","45","60"
"521","30","45","60"
"522","30","45","60"
"523","30","45","60"
"524","30","45","60"
"525","30","45","60"
"526","30","45","60"
"527","30","45","60"
"528","30","45","60"
"529","30","45","60"
"530","30","45","60"
"531","30","45","60"
"532","30","30","30"
"533","30","45","60"
"534","30","45","60"
"535","30","45","60"
"536","30","45","60"
"537","30","45","60"
"538","30","45","60"
"539","30","45","60"
"540","30","45","60"
"541","30","45","60"
"542","30","45","60"
"543","30","45","60"
"544","30","45","60"
"545","30","45","60"
"546","30","45","60"
"547","30","45","60"
"548","30","45","60"
"549","30","45","60"
"550","30","45","60"
"551","30","45","60"
"552","30","45","60"
"553","30","45","60"
"554","30","45","60"
"555","30","45","60"
"556","30","45","60"
"557","30","45","60"
"558","30","45","60"
"559","30","45","60"
"560","30","45","60"
"561","30","45","60"
"562","30","45","60"
"563","30","45","60"
"564","30","45","60"
"565","30","45","60"
"566","30","45","60"
"567","30","45","60"
"568","30","45","60"
"569","30","45","60"
"570","30","45","60"
"571","30","45","60"
"572","30","45","60"
"573","30","45","70"
"574","30","45","70"
"575","30","45","70"
"576","30","45","70"
"577","30","45","70"
"578","30","45","70"
"579","30","45","70"
"580","30","45","70"
"581","30","45","70"
"582",,,
"583",,,
"584","30","45","60"
"585","30","30","30"
"586","30","45","70"
"587","30","45","60"
"588","30","45","60"
"589","30","45","60"
"590","30","45","60"
"591","30","45","60"
