"id","marketing_rep"
"10","10"
"13","10"
"15","10"
"54","10"
"77","10"
"78","10"
"79","10"
"80","10"
"82","10"
"83","10"
"106","10"
"112","10"
"115","10"
"118","10"
"120","10"
"122","10"
"123","10"
"124","10"
"126","10"
"128","10"
"131","10"
"132","10"
"133","10"
"134","10"
"136","10"
"137","10"
"138","10"
"142","10"
"145","10"
"146","10"
"147","10"
"148","10"
"149","10"
"150","10"
"154","10"
"155","10"
"156","10"
"157","10"
"159","10"
"162","10"
"165","10"
"166","10"
"167","10"
"168","10"
"169","10"
"173","10"
"176","10"
"177","10"
"179","10"
"191","17"
"193","17"
"244","45"
"245","45"
"246","45"
"247","45"
"248","45"
"249","45"
"250","45"
"251","45"
"252","45"
"253","45"
"254","45"
"255","45"
"256","45"
"257","45"
"258","45"
"259","45"
"260","45"
"261","45"
"262","45"
"263","45"
"264","45"
"265","45"
"266","45"
"267","45"
"268","45"
"269","45"
"270","45"
"271","45"
"272","45"
"273","45"
"274","45"
"275","45"
"276","45"
"277","45"
"278","45"
"279","45"
"280","45"
"281","45"
"282","45"
"283","45"
"284","45"
"285","45"
"286","45"
"287","45"
"288","45"
"289","45"
"290","45"
"291","45"
"292","45"
"293","45"
"294","45"
"295","45"
"296","45"
"297","45"
"298","45"
"299","45"
"300","45"
"301","45"
"302","45"
"303","45"
"304","45"
"305","45"
"306","45"
"307","45"
"308","45"
"309","45"
"310","45"
"311","45"
"312","45"
"313","45"
"314","45"
"315","45"
"316","45"
"317","45"
"318","45"
"319","45"
"320","45"
"321","45"
"322","45"
"323","45"
"324","45"
"325","45"
"326","45"
"327","45"
"328","45"
"329","45"
"330","45"
"331","45"
"332","44"
"333","44"
"334","44"
"335","44"
"336","44"
"337","44"
"338","44"
"339","44"
"340","44"
"341","44"
"342","44"
"343","44"
"344","44"
"345","44"
"346","44"
"347","44"
"348","44"
"349","44"
"350","44"
"352","44"
"353","44"
"354","44"
"355","44"
"356","44"
"357","44"
"358","44"
"359","44"
"360","44"
"361","44"
"362","44"
"363","44"
"364","44"
"365","44"
"366","44"
"367","44"
"368","44"
"369","44"
"370","44"
"371","44"
"372","44"
"373","44"
"374","44"
"375","45"
"376","45"
"377","45"
"378","45"
"379","45"
"380","45"
"381","45"
"382","45"
"383","45"
"384","45"
"385","45"
"386","45"
"387","45"
"388","45"
"389","45"
"390","45"
"391","45"
"392","45"
"393","45"
"394","44"
"395","44"
"397","45"
"398","45"
"399","45"
"400","45"
"401","45"
"402","45"
"403","45"
"404","45"
"405","45"
"406","45"
"407","45"
"408","44"
"409","45"
"410","45"
"411","45"
"412","45"
"413","45"
"414","17"
"416","45"
"417","45"
"418","45"
"419","45"
"420","45"
"421","45"
"422","45"
"423","45"
"424","45"
"425","45"
"426","45"
"427","45"
"428","45"
"429","45"
"430","45"
"431","45"
"432","45"
"433","45"
"434","45"
"436","45"
"437","45"
"438","45"
"439","17"
"440","45"
"441","45"
"442","45"
"443","45"
"444","45"
"445","45"
"446","45"
"447","45"
"448","45"
"449","45"
"450","44"
"452","45"
"453","45"
"454","45"
"455","45"
"456","45"
"457","45"
"458","45"
"459","45"
"460","45"
"461","45"
"462","45"
"463","45"
"464","45"
"465","45"
"467","45"
"471","45"
"472","45"
"473","45"
"474","45"
"475","45"
"476","45"
"477","45"
"478","45"
"479","44"
"480","45"
"481","45"
"482","45"
"483","45"
"484","45"
"485","45"
"486","45"
"488","45"
"489","45"
"490","17"
"491","17"
"492","45"
"493","44"
"494","45"
"495","45"
"498","44"
"499","44"
"500","44"
"501","45"
"502","45"
"503","45"
"504","45"
"505","45"
"506","45"
"507","45"
"508","44"
"511","44"
"512","44"
"513","44"
"514","44"
"515","44"
"516","44"
"517","44"
"518","44"
"519","44"
"520","44"
"521","44"
"522","44"
"523","44"
"524","44"
"525","44"
"526","44"
"527","44"
"528","44"
"529","44"
"530","44"
"531","44"
"532","45"
"533","44"
"534","44"
"535","44"
"536","44"
"537","44"
"538","44"
"539","44"
"540","44"
"541","44"
"542","44"
"543","44"
"544","44"
"545","44"
"546","44"
"547","44"
"548","44"
"549","44"
"550","44"
"551","44"
"552","44"
"553","44"
"554","44"
"555","44"
"556","44"
"557","44"
"558","44"
"559","44"
"560","44"
"561","44"
"562","44"
"563","44"
"564","44"
"565","44"
"566","44"
"567","44"
"568","44"
"569","44"
"570","44"
"571","44"
"572","44"
"573","17"
"575","17"
"576","17"
"577","17"
"578","17"
"579","17"
"580","17"
"581","17"
"584","44"
"585","45"
"586","17"
"587","45"
"588","44"
"589","44"
"590","44"
"591","44"
"592","44"
"593","45"
"594","44"
